sex,Year,medal_count
M,1896,143
M,1900,591
F,1900,13
M,1904,476
F,1904,10
F,1906,6
M,1906,452
M,1908,815
F,1908,16
M,1912,911
F,1912,30
M,1920,1264
F,1920,44
M,1924,910
F,1924,52
F,1928,103
M,1928,720
M,1932,671
F,1932,68
M,1936,928
F,1936,97
M,1948,871
F,1948,116
M,1952,875
F,1952,158
M,1956,872
F,1956,171
F,1960,195
M,1960,863
F,1964,246
M,1964,969
M,1968,995
F,1968,261
F,1972,295
M,1972,1119
F,1976,440
M,1976,1091
F,1980,485
M,1980,1117
F,1984,548
M,1984,1150
F,1988,617
M,1988,1228
F,1992,691
M,1992,1339
M,1994,223
F,1994,108
F,1996,764
M,1996,1078
F,1998,189
M,1998,251
F,2000,880
M,2000,1124
M,2002,270
F,2002,208
F,2004,898
M,2004,1103
M,2006,295
F,2006,231
F,2008,932
M,2008,1116
M,2010,291
F,2010,229
M,2012,1023
F,2012,918
F,2014,265
M,2014,332
M,2016,1054
F,2016,969
